Date,returns
2010-01-05,-0.0006342127291135483
2010-01-06,-0.002044594686879501
2010-01-07,0.005436677921638233
2010-01-08,0.0008812573934759036
2010-01-11,0.00029449131656594183
2010-01-12,-0.008443088937988709
2010-01-13,0.007810248500708204
2010-01-14,0.0038438501073198494
2010-01-15,-0.010314312718267332
2010-01-19,0.013822535612284918
2010-01-20,-0.008207044967649043
2010-01-21,-0.020974425739590484
2010-01-22,-0.023457129308015644
2010-01-25,0.003106887675799498
2010-01-26,-0.0011237798831772706
2010-01-27,0.00785675206518435
2010-01-28,-0.010895000218448662
2010-01-29,-0.007252115268706821
2010-02-01,0.011057009643142227
2010-02-02,0.010796022891707748
2010-02-03,-0.00414368551157682
2010-02-04,-0.027796557229720013
2010-02-05,0.0018348802597817923
2010-02-08,-0.008336314583542174
2010-02-09,0.015205728301699707
2010-02-10,-0.0013301812140326873
2010-02-11,0.011234048832195904
2010-02-12,-0.0033678365381622772
2010-02-16,0.01623422441708145
2010-02-17,0.0049059772413399035
2010-02-18,0.007354432696516372
2010-02-19,0.00017850589795206316
2010-02-22,0.00014471097750140186
2010-02-23,-0.009806070255722343
2010-02-24,0.011079179429230028
2010-02-25,-0.004246069700946845
2010-02-26,0.0018242276606476567
2010-03-01,0.00899607755089001
2010-03-02,0.0010340542157020207
2010-03-03,-0.0009864859972076184
2010-03-04,0.0041039571705434605
2010-03-05,0.013228266741297881
2010-03-08,0.0015316694829170324
2010-03-09,0.0014794696499754298
2010-03-10,0.002369202693257944
2010-03-11,0.0052088190197226245
2010-03-12,0.001811830584770801
2010-03-15,0.0003335313272410553
2010-03-16,0.004723722527113344
2010-03-17,0.0031733431962663733
2010-03-18,0.0058950671653084825
2010-03-19,-0.0025271254102624636
2010-03-22,0.004088705799253076
2010-03-23,0.00821614018477511
2010-03-24,-0.007042498734630538
2010-03-25,0.0029583685044969675
2010-03-26,0.00013565627287697213
2010-03-29,0.004532665131315189
2010-03-30,0.002280139448249795
2010-03-31,-0.005091351236350408
2010-04-01,0.0066587023820034634
2010-04-05,0.004128234659395159
2010-04-06,-5.263586395794864e-06
2010-04-07,-0.005803343108973575
2010-04-08,0.003700157413304968
2010-04-09,0.0070788794927492855
2010-04-12,0.0007846989935200695
2010-04-13,0.0017655467128416709
2010-04-14,0.010375455688625504
2010-04-15,0.0011387513902978293
2010-04-16,-0.013854783595839136
2010-04-19,0.006028758934769105
2010-04-20,0.0023095129505800198
2010-04-21,-0.0013128741389075744
2010-04-22,0.00568594958908274
2010-04-23,0.005430995353050095
2010-04-26,-0.004240550245735679
2010-04-27,-0.0182149425152052
2010-04-28,0.00541995608671851
2010-04-29,0.01369611054963596
2010-04-30,-0.020661028483728396
2010-05-03,0.014464556535205187
2010-05-04,-0.01819916452865552
2010-05-05,-0.006149163003533985
2010-05-06,-0.0334588570139344
2010-05-07,-0.014704716029235529
2010-05-10,0.04084970138985965
2010-05-11,-0.0022348179356292226
2010-05-12,0.015369443036986535
2010-05-13,-0.013452042740234661
2010-05-14,-0.017978798262084976
2010-05-17,0.0010471637751299763
2010-05-18,-0.013960022833456862
2010-05-19,-0.004247681122910195
2010-05-20,-0.0361566738633015
2010-05-21,0.013482120715602739
2010-05-24,-0.00898846288004641
2010-05-25,0.0004292086629545009
2010-05-26,-0.008046669380748751
2010-05-27,0.028019683742826245
2010-05-28,-0.00978541735242781
2010-06-01,-0.009490551636697193
2010-06-02,0.02469961299271516
2010-06-03,0.003918263548745035
2010-06-04,-0.03235390731456073
2010-06-07,-0.01312382462338983
2010-06-08,0.009744423002249583
2010-06-09,-0.005530198928078293
2010-06-10,0.0235866717086335
2010-06-11,0.0040879865067172194
2010-06-14,-0.0036968757103046828
2010-06-15,0.023222000870692858
2010-06-16,-0.00019476978612504594
2010-06-17,0.0039336871428531294
2010-06-18,0.0016970209135959565
2010-06-21,-0.0009200939939361772
2010-06-22,-0.015742444382555513
2010-06-23,-0.0004294061892451447
2010-06-24,-0.014532729802611045
2010-06-25,0.0006722801812697529
2010-06-28,-0.002731029257854068
2010-06-29,-0.029519529082002754
2010-06-30,-0.010653596496709989
2010-07-01,-0.0026647957736827114
2010-07-02,-0.0027234753359117424
2010-07-06,0.004558891338950186
2010-07-07,0.028065602754922328
2010-07-08,0.01099259469000704
2010-07-09,0.007617027307524418
2010-07-12,0.0007036841505291992
2010-07-13,0.013333029859207729
2010-07-14,0.0017926146652269966
2010-07-15,0.0016804374432824645
2010-07-16,-0.024365243023505553
2010-07-19,0.004454899930995733
2010-07-20,0.010489609524788225
2010-07-21,-0.010851566729174528
2010-07-22,0.01987880851800443
2010-07-23,0.010563345728995994
2010-07-26,0.008090086940816553
2010-07-27,-0.0023864805666386803
2010-07-28,-0.005893537071432029
2010-07-29,-0.0035086956873522077
2010-07-30,0.0014716710894635634
2010-08-02,0.017216046836754387
2010-08-03,-0.004582343884292575
2010-08-04,0.0061368612628450265
2010-08-05,-0.0019101375348530858
2010-08-06,-0.0007302273822187899
2010-08-09,0.007046039750419773
2010-08-10,-0.006894723571571738
2010-08-11,-0.025283852616905345
2010-08-12,-0.005522090770588947
2010-08-13,-0.003167420869949802
2010-08-16,0.00042691587237318664
2010-08-17,0.011310892516502176
2010-08-18,0.0026059285000796777
2010-08-19,-0.01639230900998441
2010-08-20,0.0023092406345380768
2010-08-23,-0.004819091070269367
2010-08-24,-0.012873034276881334
2010-08-25,0.002920567266345979
2010-08-26,-0.008847966887790812
2010-08-27,0.01415806374239885
2010-08-30,-0.014596070756048421
2010-08-31,-0.0014742808297430205
